cg04712664,cg15690037,cg27130954,cg16545496,cg02322203,cg08789908,cg07545640,cg12790440,cg10686375,cg13753571,cg20556751,cg24270678,cg12670061,cg07724674,cg20981893,cg12081455,cg01443318,cg13678281,cg02734600,cg09807841,cg04750517,barcode,foliocc
0.597822056266058,0.497292001944589,0.0628128986367232,0.00536185189620628,0.025529038070934,0.0386013479867771,0.0262550471909525,0.0688842092054236,0.0359412608446068,0.0135496266849385,0.00960727699548177,0.00880123238543688,0.0171362376440218,0.070578131835792,0.103784821736509,0.298728440707911,0.785445375286322,0.638838920522229,0.693190539205867,0.830701041707799,0.91956201048197,201501960003_R02C01,622
0.618153089888973,0.491331998458078,0.0732662641106538,0.00494810103353766,0.0166295779679119,0.0393067103337249,0.0254577022789555,0.0658611945116986,0.0354608658535424,0.00522276646788152,0.00796253252796949,0.00720633467443411,0.016650411630599,0.0573952215972023,0.101974284098686,0.269256576110498,0.781523620103853,0.663042961015846,0.708355014067511,0.837136629836957,0.912796079067363,201501960003_R03C01,236
0.609310645475501,0.505875317272899,0.094541031258253,0.00493539193796813,0.0166335310561672,0.0479262643510317,0.0251812579503366,0.0577908308002781,0.0344209624670833,0.00467349100851641,0.00829183242888415,0.0158319051071821,0.0138487258372052,0.0701050887118066,0.111650784879956,0.297570785566505,0.72270020693079,0.660564594766788,0.677824474186242,0.802451297331299,0.904608136381001,201501960003_R04C01,2005
0.598915299597809,0.494666664496752,0.0601268247227091,0.00334855584958081,0.0178000707796235,0.0468170247851329,0.041731193709216,0.0710166937004047,0.0261885492436141,0.0261092122109735,0.0061866010442264,0.00972121657936709,0.00956340743500276,0.0681370387159915,0.10776441509112,0.28865798694104,0.762673383067841,0.70434637012603,0.694841812804127,0.846469708691765,0.900994239569282,201501960003_R05C01,720
0.635168006174328,0.503387442539329,0.0817227520488205,0.00466549370631059,0.0242526071444347,0.0440681403538601,0.0172850714148995,0.0570207855906798,0.0415053347571135,0.00444871586105469,0.00628428678577537,0.0140523154301112,0.0276150401706599,0.0814243187614586,0.128636371624044,0.285735865897087,0.725280764634072,0.64751314877186406,0.690784484520653,0.779697518246594,0.911049996875905,201501960003_R07C01,418
0.608791979701982,0.511500835945461,0.0893882068076158,0.00745566143994073,0.018894445973452,0.0485275671154735,0.0251664269343287,0.0976537841107236,0.0430628002735007,0.0084407859930518,0.00572395214480047,0.010213129555834,0.0150977543551764,0.0661013715992574,0.1150548411393,0.296118628375845,0.734883459435432,0.630014648232106,0.70580546276611,0.818839864338154,0.900548180335746,201501960022_R02C01,723
0.622549216713551,0.51917031295812,0.0635386022597133,0.00333629586800293,0.0237889176767828,0.047043145866792,0.0285173496185501,0.057415613826858,0.0551906447749876,0.00462678292663847,0.00212265366383481,0.0150916038759153,0.0261521611233265,0.0623492795756831,0.115286769773211,0.280051698581974,0.766848029477348,0.705944426484063,0.682995838963821,0.818534269502461,0.905608628268558,201501960022_R03C01,600
0.611310697881157,0.507353795026183,0.0638284229613486,0.00633494927098337,0.0227785473749779,0.0431410209438464,0.020900191397794102,0.061349594294344,0.0382137463921416,0.0143003664367195,0.00206499317998269,6.011216994187e-4,0.0137002156050962,0.0666279828713953,0.12328672457441,0.275124954679905,0.759435991764778,0.710368474069965,0.695589924001545,0.826435757123332,0.906466752207972,201501960022_R05C01,97
0.588753521898418,0.501912489846686,0.0716541124934606,0.00917397930555078,0.0189127633562949,0.0436398495460861,0.0252916460782796,0.0512619414522181,0.0324356577160854,0.00771731029020848,0.00699824786652811,0.0102403326750747,0.0153814214437397,0.0770430618059769,0.108966109224362,0.300614935013849,0.791379891443278,0.713074196797381,0.677770308092133,0.863796366215925,0.905173529787429,201501960022_R06C01,422
0.63250645558092,0.521456625874257,0.0656338478448844,0.0107516650672084,0.0218690199800172,0.0464155697601003,0.0123480044079704,0.041538900734249,0.0385998678248068,1.8743394913364e-4,0.00421830046368063,0.0112745306078335,0.0157887035993803,0.0730886161952903,0.0993415510764056,0.26000863390703,0.762816182804338,0.696584450612794,0.689041894859856,0.845963107710475,0.923406575276959,201501960022_R08C01,473
0.613422835739272,0.504877462910981,0.0668340648590516,0.00755288915053689,0.0184068483919008,0.0367929380066214,0.0220366379115865,0.0573026486025327,0.0413471135281136,0.0114413634669721,0.00922345410063656,0.0136526844700864,0.0175808291652353,0.0741599051785159,0.108945018611149,0.264095065559634,0.736106760589103,0.636358910442561,0.687765057565093,0.822546314265412,0.900628266363232,201501960040_R01C01,496
